All OJ,Problem Title,CP4+5,Hint,DACU,Point,Solved
12571,Fetching from uHunt,"2.2j, Bit Manipulation",precalculate AND operations,,0.0,false
12720,Fetching from uHunt,"2.2j, Bit Manipulation",observe the pattern in this binary to decimal conversion variant; involves modulo arithmetic,,0.0,false
bitbybit,bitbybit,"2.2j, Bit Manipulation",be very careful with and + or corner cases,955,2.9,false
deathstar,deathstar,"2.2j, Bit Manipulation",can be solved with bit manipulation,415,2.0,false
lc0338,to replace with LeetCode link soon...,"2.2j, Bit Manipulation",bit_count; trivial; leetcode-75,0,2.0,false
lc1318,to replace with LeetCode link soon...,"2.2j, Bit Manipulation",check all 31 bits; a few sub-cases per bit; leetcode-75,0,4.0,false
snapperhard,snapperhard,"2.2j, Bit Manipulation",bit manipulation; find the pattern; the easier version is also available at Kattis - snappereasy,501,2.3,false
10523,Fetching from uHunt,"2.2k, Big Integer, Easier",BigInteger addition; multiplication; and power,,0.0,false
10925,Fetching from uHunt,"2.2k, Big Integer, Easier",BigInteger addition and division,,0.0,false
11879,Fetching from uHunt,"2.2k, Big Integer, Easier",BigInteger: mod; divide; subtract; equals,,0.0,false
lc0043,to replace with LeetCode link soon...,"2.2k, Big Integer, Easier",basic Big Integer multiplication; programming-skills,0,4.0,false
primaryarithmetic,primaryarithmetic,"2.2k, Big Integer, Easier",not a Big Integer problem but a simulation of basic addition,399,2.7,false
simpleaddition,simpleaddition,"2.2k, Big Integer, Easier",that A+B on BigInteger question,1913,1.9,false
wizardofodds,wizardofodds,"2.2k, Big Integer, Easier","if K is bigger than 350, the answer is clear; else just check if 2^K ≥ N",488,2.6,false
lc2259,to replace with LeetCode link soon...,"2.2l, Big Integer, Harder",we can use Big Integer technique to solve this,0,2.0,false
01062,Fetching from uHunt,"2.2m, Stack",LA 3752 - WorldFinals Tokyo07; simulation with stack; maximum answer is 26 stacks; O(n) solution exists,,0.0,false
13055,Fetching from uHunt,"2.2m, Stack",nice problem about stack,,0.0,false
evenup,evenup,"2.2m, Stack",use stack to solve this problem,1273,2.7,true
lc0394,to replace with LeetCode link soon...,"2.2m, Stack",stack simulation; leetcode-75; top-100-liked,0,4.0,false
pairingsocks,pairingsocks,"2.2m, Stack",simulation using two stacks; just do as asked,556,3.0,true
restaurant,restaurant,"2.2m, Stack",simulation with stack-based concept; drop plates at stack 2 (LIFO); use move 2-$gt;1 to reverse order; take from stack 1...,364,4.5,false
throwns,throwns,"2.2m, Stack",use stack of egg positions to help with the undo operation; be careful of corner cases involving modulo operation,1091,2.6,false
00551,Fetching from uHunt,"2.2n, Stack-based Problems",bracket matching; use stack,,0.0,false
00727,Fetching from uHunt,"2.2n, Stack-based Problems",Infix to Postfix conversion problem,,0.0,false
11111,Fetching from uHunt,"2.2n, Stack-based Problems",bracket matching with twists,,0.0,false
bungeebuilder,bungeebuilder,"2.2n, Stack-based Problems",clever usage of stack; linear pass; bracket (mountain) matching variant,83,3.3,false
circuitmath,circuitmath,"2.2n, Stack-based Problems",postfix calculator problem,918,2.4,false
delimitersoup,delimitersoup,"2.2n, Stack-based Problems",bracket matching; stack,382,1.9,false
lc0901,to replace with LeetCode link soon...,"2.2n, Stack-based Problems","process left-to-right (each day); monotonic non-increasing stack (price, days_increasing); leetcode-75",0,4.0,false
11988,Fetching from uHunt,"2.2o, List/Queue/Deque",rare linked list problem,,0.0,false
12108,Fetching from uHunt,"2.2o, List/Queue/Deque",simulation with N queues,,0.0,false
integerlists,integerlists,"2.2o, List/Queue/Deque",use deque for fast deletion from front (normal) & back (reversed list); use stack to reverse the final list if it is...,882,4.8,false
joinstrings,joinstrings,"2.2o, List/Queue/Deque",all '+' operations must be O(1),959,4.1,false
lc0232,to replace with LeetCode link soon...,"2.2o, List/Queue/Deque",the interesting implementation of queue with two stacks: in-stack and out-stack,0,2.0,false
sim,sim,"2.2o, List/Queue/Deque",use list and its iterator,99,2.0,false
teque,teque,"2.2o, List/Queue/Deque",all operations must be O(1),766,3.3,false
lc0011,to replace with LeetCode link soon...,"2.2p, 1D Array, Two Pointers","two pointers, l=0, r=n-1; we can always move the shorter pointer inside; leetcode-75; top-100-liked; top-interview-150",0,4.0,false
lc0167,to replace with LeetCode link soon...,"2.2p, 1D Array, Two Pointers",two pointers: leftmost and rightmost; top-interview-150,0,4.0,false
lc0283,to replace with LeetCode link soon...,"2.2p, 1D Array, Two Pointers",two pointers: leftmost zero and cur; programming-skills; leetcode-75; top-100-liked,0,2.0,false
lc0392,to replace with LeetCode link soon...,"2.2p, 1D Array, Two Pointers",variant of merge of Merge sort; leetcode-75; top-interview-150,0,2.0,false
lc1768,to replace with LeetCode link soon...,"2.2p, 1D Array, Two Pointers",variant of merge of Merge sort; programming-skills; leetcode-75,0,2.0,true
00261,Fetching from uHunt,"2.2q, Sliding Window",sliding window variant,,0.0,false
01121,Fetching from uHunt,"2.2q, Sliding Window",LA 2678 - SouthEasternEurope06; sliding window variant,,0.0,false
11536,Fetching from uHunt,"2.2q, Sliding Window",sliding window variant,,0.0,false
lc0003,to replace with LeetCode link soon...,"2.2q, Sliding Window",increase char freq when extending; reduce window size if duplicate is seen; top-100-liked; top-interview-150,0,4.0,false
lc0643,to replace with LeetCode link soon...,"2.2q, Sliding Window",slide the window of size k; keep the max; divide by k; leetcode-75,0,2.0,false
sound,sound,"2.2q, Sliding Window",sliding window variant 4; max and min; similar to Kattis - treeshopping,104,5.3,false
subseqhard,subseqhard,"2.2q, Sliding Window",interesting sliding window variant,1119,3.9,false
lc0002,to replace with LeetCode link soon...,"2.2r, Linked List Exercises",simple problem but in reverse SLL mode; programming-skills; top-100-liked; top-interview-150,0,4.0,false
lc0021,to replace with LeetCode link soon...,"2.2r, Linked List Exercises",merge of merge sort in linked list way; programming-skills; top-100-liked; top-interview-150,0,2.0,false
lc0206,to replace with LeetCode link soon...,"2.2r, Linked List Exercises",classic SLL reversal task; programming-skills; leetcode-75; top-100-liked,0,2.0,false
lc0445,to replace with LeetCode link soon...,"2.2r, Linked List Exercises",like LC0002; but need to use two stacks; programming-skills,0,4.0,false
lc2095,to replace with LeetCode link soon...,"2.2r, Linked List Exercises",first pass to count n; second pass to go to the middle vertex and to skip it; leetcode-75,0,4.0,false
lc2130,to replace with LeetCode link soon...,"2.2r, Linked List Exercises","use recursion; as it unwinds, sum the values of leftmost and rightmost pointers; leetcode-75",0,4.0,false
01203,Fetching from uHunt,"2.3a, Priority Queue",LA 3135 - Beijing04; use priority_queue,,0.0,false
11997,Fetching from uHunt,"2.3a, Priority Queue",sort the lists; merge two sorted lists using priority_queue to keep the K-th smallest sum every time,,0.0,false
jugglingpatterns,jugglingpatterns,"2.3a, Priority Queue",PQ simulation; reading comprehension,48,6.3,false
knigsoftheforest,knigsoftheforest,"2.3a, Priority Queue",PQ simulation after sorting the entries by year,184,3.6,false
lc2462,to replace with LeetCode link soon...,"2.3a, Priority Queue",min PQ simulation; two pointers: i=0 and j=n-1; move inwards; leetcode-75,0,4.0,false
numbertree,numbertree,"2.3a, Priority Queue","not a direct priority queue problem, but the indexing strategy is similar to binary heap indexing",1760,2.1,false
stockprices,stockprices,"2.3a, Priority Queue",PQ simulation; both max and min PQ,109,3.7,false
00499,Fetching from uHunt,"2.3b, DAT, ASCII",ASCII keys,,0.0,false
11340,Fetching from uHunt,"2.3b, DAT, ASCII",ASCII keys,,0.0,true
11577,Fetching from uHunt,"2.3b, DAT, ASCII",A-Z keys,,0.0,false
alphabetspam,alphabetspam,"2.3b, DAT, ASCII","count the frequencies of lowercase, uppercase, and whitespace characters",3902,1.4,false
lc0389,to replace with LeetCode link soon...,"2.3b, DAT, ASCII",DAT ('a'..'z'); programming-skills,0,2.0,false
quickbrownfox,quickbrownfox,"2.3b, DAT, ASCII",pangram; frequency counting of 26 alphabets,4433,1.6,false
soundex,soundex,"2.3b, DAT, ASCII",DAT for soundex A-Z code mapping; also available at UVa 10260 - Soundex,106,2.9,false
01368,Fetching from uHunt,"2.3c, DAT, Others","for each column j, find the highest frequency character among all j-th column of all m DNA strings",,0.0,false
11203,Fetching from uHunt,"2.3c, DAT, Others",count frequency of x/y/z,,0.0,false
bookingaroom,bookingaroom,"2.3c, DAT, Others",only 100 rooms; use 1D Boolean array,2849,1.7,false
busnumbers,busnumbers,"2.3c, DAT, Others",only 1000 bus numbers; use 1D Boolean array,2776,2.4,false
freefood,freefood,"2.3c, DAT, Others",only 365 days in a year,1965,1.5,false
lc0645,to replace with LeetCode link soon...,"2.3c, DAT, Others",DAT [1..10000]; find key with freq 2 (repeated) and 0 (missing),0,2.0,false
princesspeach,princesspeach,"2.3c, DAT, Others",DAT; linear pass,839,2.1,true
12049,Fetching from uHunt,"2.3d, Hash Table (set), E",unordered_multiset manipulation,,0.0,false
13148,Fetching from uHunt,"2.3d, Hash Table (set), E",we can store all precomputed answers - which are given - into unordered_set,,0.0,false
cd,cd,"2.3d, Hash Table (set), E",unordered_set is faster than set here; or use modified merge as the input is sorted; also available at UVa 11849 - CD,3176,5.3,false
esej,esej,"2.3d, Hash Table (set), E",use unordered_set to prevent duplicate,509,3.3,false
lc2215,to replace with LeetCode link soon...,"2.3d, Hash Table (set), E",use set for fast tests; leetcode-75,0,2.0,false
shiritori,shiritori,"2.3d, Hash Table (set), E",linear pass; use unordered_set to keep track of words that have been called,295,2.9,false
greetingcard,greetingcard,"2.3e, Hash Table (set), H",use unordered_set; only 12 neighbors,607,4.9,false
11348,Fetching from uHunt,"2.3f, Hash Table (map), E",use map and set to check uniqueness,,0.0,false
11629,Fetching from uHunt,"2.3f, Hash Table (map), E",use map,,0.0,false
competitivearcadebasketball,competitivearcadebasketball,"2.3f, Hash Table (map), E",use unordered_map,209,2.8,false
conformity,conformity,"2.3f, Hash Table (map), E",use unordered_map to count frequencies of the sorted permutations of 5 ids; also available at UVa 11286 - Conformity,1100,1.9,false
grandpabernie,grandpabernie,"2.3f, Hash Table (map), E",use unordered_map plus (sorted) vector,1065,3.2,false
lc1679,to replace with LeetCode link soon...,"2.3f, Hash Table (map), E",frequency Counter; pairings; leetcode-75,0,4.0,false
recount,recount,"2.3f, Hash Table (map), E",use map; frequency counting,1163,2.0,true
lc0347,to replace with LeetCode link soon...,"2.3g, Hash Table (Counter)",use Counter to count frequency; sort by frequencies; top k; top-100-liked,0,4.0,false
10145,Fetching from uHunt,"2.3h, Hash Table (map), H",use map and set,,0.0,false
11860,Fetching from uHunt,"2.3h, Hash Table (map), H",use set and map; linear scan,,0.0,false
addingwords,addingwords,"2.3h, Hash Table (map), H",use unordered_map,1880,3.9,false
awkwardparty,awkwardparty,"2.3h, Hash Table (map), H",use unordered_map to running max and running min; report the largest difference,611,3.0,false
basicinterpreter,basicinterpreter,"2.3h, Hash Table (map), H",the harder version of Kattis - variablearithmetic; tedious; be careful; print string inside double quotes verbatim,152,6.7,false
10815,Fetching from uHunt,"2.3i, Balanced BST (set)",use set and string,,0.0,false
11136,Fetching from uHunt,"2.3i, Balanced BST (set)",use multiset,,0.0,false
13037,Fetching from uHunt,"2.3i, Balanced BST (set)",we can use set or a sorted array,,0.0,false
bst,bst,"2.3i, Balanced BST (set)",simulate special BST [1..N] insertions using set,449,7.3,false
candydivision,candydivision,"2.3i, Balanced BST (set)",complete search from 1 to sqrt(N); insert all divisors into set for automatic sorting and elimination of duplicates,702,3.4,false
compoundwords,compoundwords,"2.3i, Balanced BST (set)",use set extensively; iterator,1807,1.7,false
lc0056,to replace with LeetCode link soon...,"2.3i, Balanced BST (set)",maintain set of intervals using bBST (set); do quick merging of intervals; top-100-liked; top-interview-150,0,4.0,false
10138,Fetching from uHunt,"2.3j, Balanced BST (map)",map plates to bills; entrance time; and position,,0.0,false
11308,Fetching from uHunt,"2.3j, Balanced BST (map)",use map and set,,0.0,false
12504,Fetching from uHunt,"2.3j, Balanced BST (map)",use map; string to string,,0.0,false
administrativeproblems,administrativeproblems,"2.3j, Balanced BST (map)",use several maps as the output (of spy names) has to be sorted; be careful of corner cases,194,6.3,false
doctorkattis,doctorkattis,"2.3j, Balanced BST (map)",Max Priority Queue with frequent (increaseKey) updates; use map,114,4.7,false
kattissquest,kattissquest,"2.3j, Balanced BST (map)",use map of priority queues; other solutions exist,834,3.1,false
srednji,srednji,"2.3j, Balanced BST (map)",go left and right of B; use fast data structure like map to help determine the result fast,164,4.1,false
10909,Fetching from uHunt,"2.3k, Order Statistics Tree","involves dynamic selection; use pb\_ds, Fenwick Tree, or augment balanced BST",,0.0,false
babynames,babynames,"2.3k, Order Statistics Tree",dynamic rank problem; use two pb_ds,87,5.5,false
continuousmedian,continuousmedian,"2.3k, Order Statistics Tree",dynamic selection problem; specifically the median values; pb_ds helps,140,3.9,false
cookieselection,cookieselection,"2.3k, Order Statistics Tree",map large integers to up to 600K integers; use pb_ds or Fenwick Tree and the select(median) operation of Fenwick Tree,923,4.3,false
gcpc,gcpc,"2.3k, Order Statistics Tree",dynamic rank problem; pb_ds helps,876,5.3,false
lc0100,to replace with LeetCode link soon...,"2.3l, BT Exercises, E",recursive check; top-interview-150,0,2.0,false
lc0104,to replace with LeetCode link soon...,"2.3l, BT Exercises, E",recursive height check; leetcode-75; top-100-liked; top-interview-150,0,2.0,false
lc0236,to replace with LeetCode link soon...,"2.3l, BT Exercises, E",find the first vertex using postorder where both p and q are seen; leetcode-75; top-100-liked; top-interview-150,0,4.0,false
lc0437,to replace with LeetCode link soon...,"2.3l, BT Exercises, E","for each vertex, run preorder traversal; check if the path sum equals to target; leetcode-75; top-100-liked",0,4.0,false
lc0872,to replace with LeetCode link soon...,"2.3l, BT Exercises, E",run inorder traversals on both trees; picking only the leaves; compare them; leetcode-75,0,2.0,false
lc1372,to replace with LeetCode link soon...,"2.3l, BT Exercises, E",modified preorder traversal; reset counter if same direction; add counter if zig-zag-ing; leetcode-75,0,4.0,false
lc1448,to replace with LeetCode link soon...,"2.3l, BT Exercises, E",modified preorder traversal; keep the largest along the way; leetcode-75,0,4.0,false
lc0098,to replace with LeetCode link soon...,"2.3n, BST Exercises",recursive BST property validator; top-100-liked; top-interview-150,0,4.0,false
lc0230,to replace with LeetCode link soon...,"2.3n, BST Exercises",inorder traversal; report the k-th element; top-100-liked; top-interview-150,0,4.0,false
lc0450,to replace with LeetCode link soon...,"2.3n, BST Exercises",code BST deletion sub-cases; leetcode-75,0,4.0,false
lc0530,to replace with LeetCode link soon...,"2.3n, BST Exercises",the min gap is between successive elements during inorder traversal; same as LC 0783; top-interview-150,0,2.0,false
lc0700,to replace with LeetCode link soon...,"2.3n, BST Exercises",the classic BST search process; leetcode-75,0,2.0,false
lc0897,to replace with LeetCode link soon...,"2.3n, BST Exercises",create new skewed BST using inorder traversal of original BST,0,2.0,false
lc0938,to replace with LeetCode link soon...,"2.3n, BST Exercises",customize inorder traversal of BST,0,2.0,false
00599,Fetching from uHunt,"2.4a, Graph Data Structures",V-E = number of CCs; use a bitset of size 26 to count the number of vertices that have some edge,,0.0,false
11550,Fetching from uHunt,"2.4a, Graph Data Structures",graph representation; incidence matrix,,0.0,false
11991,Fetching from uHunt,"2.4a, Graph Data Structures",Adjacency List,,0.0,true
abinitio,abinitio,"2.4a, Graph Data Structures","combo: EL input, AM as working graph DS, AL output (in hash format); all operations must be O(V) or better",104,7.3,false
chopwood,chopwood,"2.4a, Graph Data Structures",Prüfer sequence; use priority_queue,258,3.5,false
traveltheskies,traveltheskies,"2.4a, Graph Data Structures",(graph) DS manipulation; an array of ALs (one per each day); simulate the number of people day by day,188,3.2,false
01197,Fetching from uHunt,"2.4b, Union-Find",LA 2817 - Kaohsiung03; Connected Components,,0.0,false
01329,Fetching from uHunt,"2.4b, Union-Find",LA 3027 - SouthEasternEurope04; interesting UFDS variant; modify the union and find routine,,0.0,false
10608,Fetching from uHunt,"2.4b, Union-Find",find the set with the largest element,,0.0,false
10685,Fetching from uHunt,"2.4b, Union-Find",find the set with the largest element,,0.0,false
almostunionfind,almostunionfind,"2.4b, Union-Find",new operation: move; idea: do not destroy the parent array structure; also available at UVa 11987 - Almost Union-Find,618,7.0,false
control,control,"2.4b, Union-Find",LA 7480 - Singapore15; simulation of UFDS; size of set; number of disjoint sets,424,4.6,false
ladice,ladice,"2.4b, Union-Find",size of set; decrement one per usage,615,2.8,false
unionfind,unionfind,"2.4b, Union-Find",basic UFDS; similar to UVa 00793,1086,4.8,false
11402,Fetching from uHunt,"2.4c, Tree-related DS",Segment Tree with lazy updates,,0.0,false
11423,Fetching from uHunt,"2.4c, Tree-related DS",clever usage of Fenwick Tree and large array; important hint: look at the constraints carefully,,0.0,false
12299,Fetching from uHunt,"2.4c, Tree-related DS",Segment Tree with a few point (not range) updates; RMQs,,0.0,false
fenwick,fenwick,"2.4c, Tree-related DS",basic Fenwick Tree; use long long,695,4.5,false
justforsidekicks,justforsidekicks,"2.4c, Tree-related DS","use six Fenwick Trees, one for each gem type",359,3.8,false
moviecollection,moviecollection,"2.4c, Tree-related DS",LA 5902 - NorthWesternEurope11; not a stack but a dynamic RSQ problem; also available at UVa 01513 - Movie collection,547,5.5,false
supercomputer,supercomputer,"2.4c, Tree-related DS",easy problem if we use Fenwick Tree,760,3.8,false
00750,Fetching from uHunt,"3.2a, Pre-calculate-able",classic backtracking problem; only 92 possible 8-queens positions,,0.0,false
10128,Fetching from uHunt,"3.2a, Pre-calculate-able",backtracking with pruning; try all $N!$ permutations that satisfy the requirement; 13! will TLE; pre-calculate the resul...,,0.0,false
10276,Fetching from uHunt,"3.2a, Pre-calculate-able",insert a number one by one,,0.0,false
cardtrick2,cardtrick2,"3.2a, Pre-calculate-able","n <= 13, we can simulate the process using queue and precalculate all 13 possible answers",869,1.6,false
foolingaround,foolingaround,"3.2a, Pre-calculate-able",there are only 379 different values of N where Bob wins; pre-calculateable,117,5.8,false
lc0052,to replace with LeetCode link soon...,"3.2a, Pre-calculate-able",pre-calculate answers for n = 1 to 9; top-interview-150,0,6.0,false
sgcoin,sgcoin,"3.2a, Pre-calculate-able",we can either brute force short string message; precompute all possible hash values; or come up with O(1) solution,271,2.4,false
12488,Fetching from uHunt,"3.2b, Iterative (Two Loops), E",2 nested loops; simulate overtaking process,,0.0,false
blackfriday,blackfriday,"3.2b, Iterative (Two Loops), E",2D nested loops; frequency counting,2384,2.2,false
closestsums,closestsums,"3.2b, Iterative (Two Loops), E",sort and then do O(n^2) pairings; also available at UVa 10487 - Closest Sums,1105,2.9,false
golombrulers,golombrulers,"3.2b, Iterative (Two Loops), E",2D nested loops; additional 1D loops for checking,297,3.2,false
lc3184,to replace with LeetCode link soon...,"3.2b, Iterative (Two Loops), E",2 nested loops,0,2.0,false
01588,Fetching from uHunt,"3.2c, Iterative (Two Loops), H",LA 3712 - NorthEasternEurope06; good iterative brute force problem; beware of corner cases,,0.0,false
00441,Fetching from uHunt,"3.2d, Three+ Nested Loops, E",6 nested loops; easy,,0.0,true
12515,Fetching from uHunt,"3.2d, Three+ Nested Loops, E",3 nested loops,,0.0,false
12844,Fetching from uHunt,"3.2d, Three+ Nested Loops, E",5 nested loops; scaled down version of UVa 10202; do observations first,,0.0,false
cudoviste,cudoviste,"3.2d, Three+ Nested Loops, E",4 nested loops; the inner loops is just 2x2; 5 possibilities of crushed cars; skip 2x2 area that contains building,1194,1.4,false
lc1790,to replace with LeetCode link soon...,"3.2d, Three+ Nested Loops, E",3 nested loops,0,2.0,false
npuzzle,npuzzle,"3.2d, Three+ Nested Loops, E",4 nested loops; easy,683,2.2,false
set,set,"3.2d, Three+ Nested Loops, E",4 nested loops; easy,364,1.8,false
00386,Fetching from uHunt,"3.2e, Three+ Nested Loops, H",4 nested loops with pruning,,0.0,false
10660,Fetching from uHunt,"3.2e, Three+ Nested Loops, H",7 nested loops; Manhattan distance,,0.0,false
11804,Fetching from uHunt,"3.2e, Three+ Nested Loops, H",5 nested loops,,0.0,false
calculatingdartscores,calculatingdartscores,"3.2e, Three+ Nested Loops, H",6 nested loops but easy; see if a*i +b*j + c*k == n,752,2.8,false
lc2352,to replace with LeetCode link soon...,"3.2e, Three+ Nested Loops, H",3 nested loops solution is still acceptable; leetcode-75,0,4.0,false
lektira,lektira,"3.2e, Three+ Nested Loops, H",2 nested loops to try all 2 cutting points plus 1 more loop to actually do the reversing of sub words,376,3.2,false
tautology,tautology,"3.2e, Three+ Nested Loops, H",try all 2^5 = 32 values with pruning; also available at UVa 11108 - Tautology,160,3.4,false
00234,Fetching from uHunt,"3.2f, Iterative (Permutation)",LA 5173 - WorldFinals Phoenix94; use next_permutation; simulation,,0.0,false
01064,Fetching from uHunt,"3.2f, Iterative (Permutation)",LA 3808 - WorldFinals Tokyo07; permutation of up to 5 messages; simulation; mind the word 'consecutive',,0.0,false
11742,Fetching from uHunt,"3.2f, Iterative (Permutation)",try all permutations,,0.0,false
dancerecital,dancerecital,"3.2f, Iterative (Permutation)",try all R! permutations; compare adjacent routines,274,4.2,false
dreamer,dreamer,"3.2f, Iterative (Permutation)",try all 8! permutations of digits; check if the date is valid; output earliest valid date,406,2.0,false
lc0046,to replace with LeetCode link soon...,"3.2f, Iterative (Permutation)",C++ next_permutation from sorted to reverse-sorted permutations; top-100-liked; top-interview-150,0,4.0,false
veci,veci,"3.2f, Iterative (Permutation)",try all permutations; get the one that is larger than X,1193,1.8,false
00639,Fetching from uHunt,"3.2g, Iterative (Combination)",generate 2^(4x4) = 2^16 combinations and prune,,0.0,false
01047,Fetching from uHunt,"3.2g, Iterative (Combination)",LA 3278 - WorldFinals Shanghai05; try all 2^n subsets of towers to be taken; use inclusion-exclusion principle,,0.0,false
12694,Fetching from uHunt,"3.2g, Iterative (Combination)",LA 6606 - Phuket13; it is safest to just brute force all 2^20 possibilities; greedy solution should be possible too,,0.0,false
geppetto,geppetto,"3.2g, Iterative (Combination)",try all 2^N subsets of ingredients,305,3.3,false
lc0077,to replace with LeetCode link soon...,"3.2g, Iterative (Combination)",standard nCk; use itertools.combinations; top-interview-150,0,4.0,false
squaredeal,squaredeal,"3.2g, Iterative (Combination)",try all 3! permutations of rectangles and try all 2^3 combinations of rectangle orientations; test figure 1.a and 1.b co...,232,4.6,false
zagrade,zagrade,"3.2g, Iterative (Combination)",try all subsets of bracket pairs to be removed,298,3.1,false
00725,Fetching from uHunt,"3.2h, Try All Answers",try all possible answers,,0.0,false
10908,Fetching from uHunt,"3.2h, Try All Answers",4 nested loops; try all possible odd square lengths,,0.0,false
communication,communication,"3.2h, Try All Answers",try all possible bytes; apply the bitmask formula,764,2.0,false
flexible,flexible,"3.2h, Try All Answers",try all possible answers,2354,1.7,true
islands,islands,"3.2h, Try All Answers",try all possible subsets; prune the non-contiguous ones (only 55 valid bitmasks between [0..1023]); check the 'island' p...,443,2.6,true
lc2843,to replace with LeetCode link soon...,"3.2h, Try All Answers",create helper function is_symmetric; try all numbers between low..high,0,2.0,false
walls,walls,"3.2h, Try All Answers",try whether the answer is 1/2/3/4; or Impossible; use up to 4 nested loops,513,4.0,false
01225,Fetching from uHunt,"3.2i, Math Simulation, E",LA 3996 - Danang07; N is small,,0.0,false
10346,Fetching from uHunt,"3.2i, Math Simulation, E",interesting simulation problem,,0.0,false
easiest,easiest,"3.2i, Math Simulation, E",complete search; sum of digit,3991,1.6,false
growlinggears,growlinggears,"3.2i, Math Simulation, E",physics of parabola; derivation; try all gears,496,2.4,false
lc1823,to replace with LeetCode link soon...,"3.2i, Math Simulation, E",use Josephus formula,0,4.0,false
lc2427,to replace with LeetCode link soon...,"3.2i, Math Simulation, E",try all x; a and b are small,0,2.0,false
trollhunt,trollhunt,"3.2i, Math Simulation, E",brute force; simple,976,2.6,false
videospeedup,videospeedup,"3.2i, Math Simulation, E",brute force; simple for loop; do as asked,298,2.0,false
lc0970,to replace with LeetCode link soon...,"3.2j, Math Simulation, M",the values of x^i or y^j will grow fast; search space is small,0,4.0,false
00616,Fetching from uHunt,"3.2k, Math Simulation, H",brute force up to sqrt(n); get pattern,,0.0,false
11130,Fetching from uHunt,"3.2k, Math Simulation, H",mirror the billiard table to the right (and/or top) so that we will only deal with one straight line instead of bouncing...,,0.0,false
11254,Fetching from uHunt,"3.2k, Math Simulation, H",use sum of AP; brute force all values of r from sqrt(2n) down to 1; stop at the first valid a,,0.0,false
11490,Fetching from uHunt,"3.2k, Math Simulation, H",let missing_people = 2*a^2; thickness_of_soldiers = b; derive a formula involving a; b; and the given S,,0.0,false
crackingrsa,crackingrsa,"3.2k, Math Simulation, H",a bit number theory; solvable with complete search,258,2.3,false
falling,falling,"3.2k, Math Simulation, H",rework the formula; complete search up to sqrt(D),588,3.1,false
thanosthehero,thanosthehero,"3.2k, Math Simulation, H",for-loop from backwards,320,3.9,false
00151,Fetching from uHunt,"3.2l, Josephus Problem",the original Josephus problem,,0.0,false
01176,Fetching from uHunt,"3.2l, Josephus Problem",LA 2346 - Dhaka01; special case when k = 2; use Josephus recurrence; simulation,,0.0,false
11351,Fetching from uHunt,"3.2l, Josephus Problem",use general case Josephus recurrence,,0.0,false
eenymeeny,eenymeeny,"3.2l, Josephus Problem",Josephus problem; small n; just simulate,492,1.7,false
musicalchairs,musicalchairs,"3.2l, Josephus Problem",Josephus variant; brute force,139,4.0,false
toys,toys,"3.2l, Josephus Problem",use general case Josephus recurrence,142,4.5,false
10344,Fetching from uHunt,"3.2m, Backtracking, Easier",5 operands + 3 operators,,0.0,false
10576,Fetching from uHunt,"3.2m, Backtracking, Easier",generate all; prune; take max,,0.0,false
12840,Fetching from uHunt,"3.2m, Backtracking, Easier",simple backtracking,,0.0,false
goodmorning,goodmorning,"3.2m, Backtracking, Easier",we can use backtracking to generate all possible (small) numbers that can be pressed according to the constraints,347,2.7,false
lc0017,to replace with LeetCode link soon...,"3.2m, Backtracking, Easier",classic backtracking; leetcode-75; top-100-liked; top-interview-150,0,4.0,false
natjecanje,natjecanje,"3.2m, Backtracking, Easier","4 options for each team with kayak: do nothing, pass to left (if damaged), keep to self (if damaged), pass to right (if ...",701,2.5,false
paintings,paintings,"3.2m, Backtracking, Easier",try all possible paintings based on Catherine's preference; skip hideous color pairs,162,3.6,false
00208,Fetching from uHunt,"3.2n, Backtracking, Harder",LA 5147 - WorldFinals SanAntonio91; backtracking with some pruning,,0.0,false
00222,Fetching from uHunt,"3.2n, Backtracking, Harder",LA 5161 - WorldFinals Indianapolis93; cannot use DP 'tank' is floating-point; use backtracking,,0.0,false
01262,Fetching from uHunt,"3.2n, Backtracking, Harder",LA 4845 - Daejeon10; sort grid columns; process common passwords in lexicographic order; skip two similar passwords,,0.0,false
dobra,dobra,"3.2n, Backtracking, Harder","try all possible 3^n changes of '_' (to a vowel, an 'L', or other consonant not 'L'); prune invalid states; count valid ...",44,3.9,false
fruitbaskets,fruitbaskets,"3.2n, Backtracking, Harder",interesting backtracking problem; compute the small numbers < 200; output all minus this value computed via backtrack...,493,4.1,false
lc0216,to replace with LeetCode link soon...,"3.2n, Backtracking, Harder",backtracking; bitmask; generate solutions; leetcode-75,0,4.0,false
pagelayout,pagelayout,"3.2n, Backtracking, Harder",a bit of geometry; O(2^n 	imes n^2 iterative bitmask will TLE; need to use recursive backtracking with pruning,84,5.1,false
11057,Fetching from uHunt,"3.3a, Binary Search",sort; target pair problem,,0.0,false
11621,Fetching from uHunt,"3.3a, Binary Search",generate numbers with factor 2 and/or 3; sort; upper_bound,,0.0,false
12965,Fetching from uHunt,"3.3a, Binary Search",sort producer/consumer prices; the answer is one of the prices mentioned; use binary searches to count the answer,,0.0,false
firefly,firefly,"3.3a, Binary Search",sort stalactites vs stalagmites separately; brute force height; binary search the obstacles hit,323,4.0,false
lc0162,to replace with LeetCode link soon...,"3.3a, Binary Search",interesting binary-search modification; leetcode-75; top-interview-150,0,4.0,false
